Valor 1 : Tensão efectiva T3 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
538;06/12/22 10:41:50'175;218,673;;;
539;06/12/22 10:41:50'655;218,669;;;
540;06/12/22 10:41:51'135;218,648;;;
541;06/12/22 10:41:51'774;218,697;;;
542;06/12/22 10:41:52'254;218,667;;;
543;06/12/22 10:41:52'734;218,670;;;
544;06/12/22 10:41:53'214;218,521;;;
545;06/12/22 10:41:53'694;218,643;;;
546;06/12/22 10:41:54'014;218,677;;;
547;06/12/22 10:41:54'494;218,565;;;
548;06/12/22 10:41:54'974;218,700;;;
549;06/12/22 10:41:55'470;218,562;;;
550;06/12/22 10:41:55'967;218,702;;;
551;06/12/22 10:41:56'607;218,609;;;
552;06/12/22 10:41:57'086;218,608;;;
553;06/12/22 10:41:57'565;218,619;;;
554;06/12/22 10:41:58'205;218,673;;;
555;06/12/22 10:41:58'685;218,640;;;
556;06/12/22 10:41:59'166;218,661;;;
557;06/12/22 10:41:59'645;218,670;;;
558;06/12/22 10:42:00'125;218,673;;;
559;06/12/22 10:42:00'605;218,640;;;
560;06/12/22 10:42:01'085;218,596;;;
561;06/12/22 10:42:01'565;218,585;;;
562;06/12/22 10:42:01'885;218,595;;;
563;06/12/22 10:42:02'365;218,679;;;
564;06/12/22 10:42:02'685;218,683;;;
565;06/12/22 10:42:03'165;218,556;;;
566;06/12/22 10:42:03'484;218,691;;;
567;06/12/22 10:42:03'964;218,618;;;
568;06/12/22 10:42:04'284;218,606;;;
569;06/12/22 10:42:04'764;218,614;;;
570;06/12/22 10:42:05'244;218,614;;;
571;06/12/22 10:42:05'884;218,695;;;
572;06/12/22 10:42:06'364;218,655;;;
573;06/12/22 10:42:06'844;218,617;;;
574;06/12/22 10:42:07'484;218,693;;;
575;06/12/22 10:42:07'964;218,636;;;
576;06/12/22 10:42:08'444;218,718;;;
577;06/12/22 10:42:08'924;218,667;;;
578;06/12/22 10:42:09'403;218,696;;;
579;06/12/22 10:42:09'883;218,723;;;
580;06/12/22 10:42:10'523;218,699;;;
581;06/12/22 10:42:11'003;218,678;;;
582;06/12/22 10:42:11'483;218,639;;;
583;06/12/22 10:42:12'123;218,669;;;
584;06/12/22 10:42:12'603;218,716;;;
585;06/12/22 10:42:13'083;218,598;;;
586;06/12/22 10:42:13'563;218,685;;;
587;06/12/22 10:42:14'043;218,748;;;
588;06/12/22 10:42:14'523;218,744;;;
589;06/12/22 10:42:15'163;218,698;;;
590;06/12/22 10:42:15'642;218,717;;;
591;06/12/22 10:42:16'122;218,591;;;
592;06/12/22 10:42:16'762;218,684;;;
