22_12_13_1_ao_4.csv;;;;;;;;;;;;;;;
13/12/2022 08:04;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44908,34018;20,5031;20,2303;20,2522;19,9177;20,1124;22,0535;242,633;241,872;240,256;-1,50227;248,327;255;0;0;0
44908,3402;20,5052;20,23;20,2512;19,9192;20,1092;22,0576;239,804;243,638;240,504;-1,51472;247,532;255;0;0;0
44908,34023;20,4996;20,23;20,2576;19,9146;20,1064;22,054;238,807;243,176;240,632;-1,50969;249,654;255;0;0;0
44908,34025;20,4992;20,2293;20,2495;19,9141;20,1024;22,0538;238,775;242,051;240,007;-1,50729;251,042;255;0;0;0
44908,34027;20,5032;20,2237;20,2498;19,9162;20,1067;22,0522;240,405;239,751;241,073;-1,51247;251,121;255;0;0;0
44908,34029;20,4999;20,2316;20,2563;19,9138;20,1056;22,0527;241,618;242,729;240,444;-1,51585;248,622;255;0;0;0
44908,34031;20,4999;20,2274;20,2496;19,9143;20,1051;22,0556;240,942;241,453;241,827;-1,51548;248,748;255;0;0;0
44908,34033;20,4969;20,2253;20,2509;19,9105;20,1045;22,0548;241,81;243,259;241,199;-1,50838;247,591;255;0;0;0
44908,34035;20,4981;20,2289;20,249;19,9124;20,1042;22,0632;241,112;241,226;239,716;-1,50676;249,027;255;0;0;0
44908,34038;20,5002;20,2377;20,2552;19,9168;20,1097;22,0694;243,076;242,573;240,414;-1,49225;252,027;255;0;0;0
44908,3404;20,5017;20,2259;20,2502;19,9153;20,1075;22,0657;241,384;243,966;239,458;-1,49456;247,317;255;0;0;0
44908,34042;20,5023;20,2311;20,2548;19,9115;20,1093;22,0676;241,591;242,443;240,239;-1,50475;248,497;255;0;0;0
44908,34044;20,5073;20,2252;20,2556;19,9201;20,1131;22,068;241,339;243,351;240,873;-1,50707;247,863;255;0;0;0
44908,34046;20,5002;20,2317;20,2551;19,9156;20,104;22,0683;239,97;241,493;239,102;-1,50202;248,414;255;0;0;0
44908,34048;20,5071;20,2305;20,2497;19,9086;20,1079;22,0657;241,35;243,256;240,238;-1,50199;248,687;255;0;0;0
44908,3405;20,5011;20,2246;20,2552;19,9171;20,1073;22,0714;241,675;243,789;241,27;-1,50153;247,427;255;0;0;0
44908,34052;20,5041;20,225;20,2507;19,9187;20,111;22,0741;239,593;240,526;239,823;-1,50511;250,905;255;0;0;0
44908,34055;20,507;20,2261;20,2594;19,9146;20,1066;22,0757;239,579;242,192;239,694;-1,50004;248,849;255;0;0;0
44908,34057;20,5;20,2292;20,2526;19,918;20,1089;22,0704;242,056;242,505;238,273;-1,51169;248,815;255;0;0;0
44908,34059;20,5045;20,2276;20,2556;19,9197;20,1056;22,0733;241,69;242,94;240,519;-1,51496;248,409;255;0;0;0
44908,34061;20,5038;20,2279;20,2568;19,9142;20,1047;22,0775;239,878;242,474;240,469;-1,51169;249,071;255;0;0;0
